行业,指标键,层级,指标名称,建议权重,数据来源,评分口径,角色,历史优先级,历史频率,最早回测需要,历史状态,更新备注,数据源就绪状态,当前可用于回测
家用电器,家用电器|2-商品房销售面积增速,先行,2-商品房销售面积增速,0.1021,国家统计局,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
家用电器,家用电器|3-铜/钢等原材料价格,先行,3-铜/钢等原材料价格,0.0851,LME/上海期货,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
家用电器,家用电器|4-家电企业排产计划,先行,4-家电企业排产计划,0.0851,产业在线,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
建筑材料,建筑材料|1-水泥熟料价格,先行,1-水泥熟料价格,0.15,数字水泥网,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
建筑材料,建筑材料|2-玻璃原片价格,先行,2-玻璃原片价格,0.12,卓创资讯,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
建筑材料,建筑材料|3-房地产新开工面积增速,先行,3-房地产新开工面积增速,0.13,国家统计局,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
建筑材料,建筑材料|4-基建投资增速,先行,4-基建投资增速,0.1,国家统计局,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
建筑装饰,建筑装饰|1-基建投资计划,先行,1-基建投资计划,0.15,发改委/财政部,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
建筑装饰,建筑装饰|2-专项债发行规模,先行,2-专项债发行规模,0.12,财政部,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
建筑装饰,建筑装饰|3-房地产新开工面积增速,先行,3-房地产新开工面积增速,0.1,国家统计局,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
建筑装饰,建筑装饰|4-钢材价格变化,先行,4-钢材价格变化,0.08,上海钢联,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
房地产,房地产|1-百城土地成交面积增速,先行,1-百城土地成交面积增速,0.1667,中指院,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
房地产,房地产|2-房企拿地金额增速,先行,2-房企拿地金额增速,0.1333,中指院,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
房地产,房地产|3-房贷利率,先行,3-房贷利率,0.1111,央行,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
房地产,房地产|4-房地产信托发行规模,先行,4-房地产信托发行规模,0.0889,用益信托,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
有色金属,有色金属|1-LME铜库存变化,先行,1-LME铜库存变化,0.15,LME,采用同比、环比、历史分位三维评分；按去库/改善方向计分。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
有色金属,有色金属|2-铜精矿TC/RC,先行,2-铜精矿TC/RC,0.12,SMM,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
有色金属,有色金属|3-美元指数,先行,3-美元指数,0.1,美联储,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
有色金属,有色金属|4-全球矿山资本开支增速,先行,4-全球矿山资本开支增速,0.08,Wood Mackenzie,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
机械设备,机械设备|1-制造业固定资产投资增速,先行,1-制造业固定资产投资增速,0.1667,国家统计局,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
机械设备,机械设备|2-挖掘机开工小时数,先行,2-挖掘机开工小时数,0.1333,小松,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
机械设备,机械设备|3-机床订单增速,先行,3-机床订单增速,0.1111,日本机床工业协会,滚动3M/4Q同比；以交付、收入或现金流确认，政策/规划单项权重≤8%。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
机械设备,机械设备|4-工业机器人产量增速,先行,4-工业机器人产量增速,0.0889,国家统计局,采用季调同比+3个月环比；单月值用3个月移动均值过滤。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
汽车,汽车|1-汽车经销商库存系数,先行,1-汽车经销商库存系数,0.1333,中国汽车流通协会,采用同比、环比、历史分位三维评分；按去库/改善方向计分。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
汽车,汽车|2-新能源汽车渗透率,先行,2-新能源汽车渗透率,0.1067,中汽协,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
汽车,汽车|3-动力电池装车量增速,先行,3-动力电池装车量增速,0.0889,中国汽车动力电池产业创新联盟,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
汽车,汽车|4-汽车出口量增速,先行,4-汽车出口量增速,0.0711,海关总署,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
煤炭,煤炭|1-动力煤港口库存,先行,1-动力煤港口库存,0.1667,秦皇岛港,采用同比、环比、历史分位三维评分；按去库/改善方向计分。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
煤炭,煤炭|2-焦煤港口库存,先行,2-焦煤港口库存,0.1111,京唐港,采用同比、环比、历史分位三维评分；按去库/改善方向计分。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
煤炭,煤炭|3-电厂日耗煤量,先行,3-电厂日耗煤量,0.1333,六大电厂,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
煤炭,煤炭|4-进口煤数量增速,先行,4-进口煤数量增速,0.0889,海关总署,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
环保,环保|1-环保固定资产投资计划,先行,1-环保固定资产投资计划,0.15,发改委,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
环保,环保|2-环保政策发布数量,先行,2-环保政策发布数量,0.1,生态环境部,滚动3M/4Q同比；以交付、收入或现金流确认，政策/规划单项权重≤8%。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
环保,环保|3-碳交易价格,先行,3-碳交易价格,0.12,全国碳市场,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
环保,环保|4-地方政府环保支出,先行,4-地方政府环保支出,0.08,财政部,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
电力设备,电力设备|1-光伏组件价格,先行,1-光伏组件价格,0.0947,PV InfoLink,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
电力设备,电力设备|2-硅料价格,先行,2-硅料价格,0.0789,硅业分会,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
电力设备,电力设备|3-锂电池价格,先行,3-锂电池价格,0.0947,SMM,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
电力设备,电力设备|4-风电招标量,先行,4-风电招标量,0.1026,金风科技/中国风能协会,滚动3M/4Q同比；以交付、收入或现金流确认，政策/规划单项权重≤8%。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
电力设备,电力设备|5-电网投资计划,先行,5-电网投资计划,0.0789,国家电网/南方电网,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
电子,电子|1-全球半导体销售额增速,先行,1-全球半导体销售额增速,0.1364,SIA/WSTS,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
电子,电子|2-存储芯片价格变化,先行,2-存储芯片价格变化,0.1091,DRAMeXchange,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
电子,电子|3-硅片出货量增速,先行,3-硅片出货量增速,0.0909,SEMI,采用季调同比+3个月环比；单月值用3个月移动均值过滤。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
电子,电子|4-设备商订单增速,先行,4-设备商订单增速,0.0909,应用材料/ASML财报,滚动3M/4Q同比；以交付、收入或现金流确认，政策/规划单项权重≤8%。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
电子,电子|5-下游客户库存周转天数,先行,5-下游客户库存周转天数,0.0727,下游公司财报,采用同比、环比、历史分位三维评分；按去库/改善方向计分。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
石油石化,石油石化|1-原油价格(Brent),先行,1-原油价格(Brent),0.1744,ICE,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
